Código de la transacción;Estatus de la transacción;Fecha de la transacción;Confirmación del pago;Productor(a);Código del producto;Producto;Código del precio;Nombre de este precio;Tasa de conversión (moneda de compra);Moneda de compra;Valor de compra con impuestos;Impuestos locales de compra + Tarifa de pago en cuotas;Valor de compra sin impuestos;Tasa de conversión (moneda en la que recibes los valores);Moneda en la que recibirás los valores;Facturación bruta (sin impuestos);Facturación bruta;Tipo de venta;Faturación neta del Productor(a);Comisión del Afiliado(a);Facturación del(de la) Coproductor(a);Moneda de las tarifas;Tarifa de procesamiento;Tasa de streaming;Otras tarifas;Nombre del Afiliado(a);Canal usado para la venta;Código SRC;Código SCK;Método de pago;Tipo de cobro;Cantidad total de cuotas;Cantidad de cobros;Fecha de vencimiento (vouchers);Código del cupón;Período de prueba (trial);Cantidad de ítems;Comprador(a);Email del Comprador(a);País;Teléfono;Documento;Código postal;Ciudad;C. Autónoma/Dpto./Estado/Prov.;Dirección;Barrio;Número;Apto./piso/casa;Instagram
TRX000001;Completada;16-08-2023;No;Donald Walker;PROD132;Since;PRC1488;Blue;0.8375;USD;356.86;33.54;323.32;10.021;CLP;3.255.521.073.814.880;3.623.605.863.673.820;Marketplace;3.159.552.878.583.590;6.766.994.874.229.110;8.921.795.677.048.450;USD;3.72;0.7;0.84;Stephanie Miller;Tienda física;SRC-6001;SCK-3389;Tarjeta de crédito;Único;12;7;15-01-2021;CUP-3863;8;2;Donald Booth;helenpeterson@example.org;Cuba;001-851-316-1559x40781;84959310-3;38431;Port Jesseville;Missouri;5255 Elizabeth Squares Apt. 928;Frank Light;3528;Apto. 49;@veronica83
TRX000002;Pendiente;07-11-2023;Sí;Patty Perez;PROD665;Almost;PRC5803;Support;11.318;EUR;226.34;30.18;196.16;10.309;CLP;19.880.520.867.222.000;23.321.911.444.957.900;Online;19.572.549.557.076.900;4.594.248.796.718.420;12.482.616.285.320.900;USD;3.98;0.99;1.71;;Redes sociales;SRC-5641;SCK-3953;PayPal;Recurrente;11;6;08-12-2023;CUP-6724;11;3;Patrick Ryan;zhurst@example.com;Cyprus;(387)810-1226;69784801-8;98920;Kaylamouth;Delaware;2704 William Coves Suite 893;Nathaniel Estates;3433;Apto. 43;
TRX000003;Cancelada;15-02-2023;Sí;Kerry Smith;PROD801;Game;PRC6313;Middle;11.371;CLP;383.13;38.19;344.94;0.8916;CLP;3.502.813.987.702.970;3.958.295.657.639.410;Presencial;34.249.189.074.848.500;4.622.602.118.511.150;269.947.826.784.278;BRL;1.7;0.21;1.89;;Tienda física;SRC-0154;SCK-3039;Transferencia;Recurrente;7;11;21-10-2025;CUP-1718;4;3;Betty Alvarez;josephbrennan@example.com;Croatia;-8969;15098393-0;9806;East Carloston;Michigan;347 Amber Stream;Sanchez Mountains;2288;Apto. 16;
TRX000004;Completada;18-06-2024;Sí;Brent Jordan;PROD742;Land;PRC3621;Item;11.168;BRL;261.17;41.24;219.93;10.386;BRL;22.990.325.777.989.100;2.684.099.288.742.720;Presencial;21.854.668.255.109.100;493.515.834.889.631;7.557.821.575.337.370;BRL;2.88;0.97;1.72;Nicholas Nunez;Web;SRC-1065;SCK-1333;PayPal;Recurrente;2;5;20-09-2023;CUP-2624;5;4;Shannon Jones;williamsyvette@example.org;Bermuda;001-932-667-7360x26064;68723430-9;96935;Lake Leeton;Pennsylvania;820 Melissa Cliff Apt. 361;Beth Canyon;54;Apto. 47;
TRX000005;Pendiente;11-07-2023;Sí;Kevin Mills;PROD652;Worry;PRC9689;Every;11.674;EUR;450.89;67.53;383.36;0.9954;CLP;3.896.130.019.356.640;4.530.182.164.559.540;Presencial;37.494.330.651.827.500;5.076.628.819.776.340;19.891.110.176.473.300;EUR;1.58;0.24;1.13;Mike Allen;Redes sociales;SRC-6247;SCK-5107;Tarjeta de crédito;Único;3;11;14-03-2024;CUP-9118;30;5;Derek Mahoney;suarezmike@example.org;Kazakhstan;-9440;18244935-3;90612;Williamview;Arkansas;640 Matthew Curve;Martin Mills;2706;Apto. 17;
TRX000006;Cancelada;09-03-2023;No;Adam Jones;PROD223;Use;PRC5061;Rock;0.8899;EUR;564.39;99.22;465.17;0.8084;USD;47.229.948.972.819.100;5.781.873.526.419.920;Marketplace;46.118.007.700.002.500;671.686.959.638.283;3.734.205.025.292.930;USD;0.53;0.71;0.12;Kimberly Davenport;Web;SRC-9826;SCK-2045;PayPal;Único;9;4;24-04-2025;CUP-0533;21;4;Heather Castro;vdickson@example.org;Uzbekistan;6.224.602.563;16073375-4;30332;North Donna;Montana;1458 Frazier Ville Suite 014;Beverly Greens;3511;;
TRX000007;Pendiente;14-08-2020;No;Haley Hartman;PROD520;Least;PRC8651;Police;11.455;CLP;524.84;82.47;442.37;10.693;CLP;4.470.997.294.294.450;5.296.999.448.479.140;Online;43.829.940.038.514.000;0.9432579649188222;6.589.827.495.146.630;BRL;3.78;0.8;0.22;Mrs. Stephanie Lee;Redes sociales;SRC-0608;SCK-8356;Transferencia;Recurrente;3;5;05-06-2021;CUP-5951;7;1;Elizabeth Parker;snguyen@example.com;Micronesia;(236)662-9946;43699577-7;89056;New Thomas;West Virginia;148 Davis Terrace;Emily Fork;7261;;@dylanwilliams
TRX000008;Completada;06-05-2025;No;Patricia Gibson;PROD160;Various;PRC3697;Professional;0.9516;BRL;612.27;112.62;499.65;0.9061;BRL;50.891.366.983.008.100;631.649.925.145.695;Presencial;49.116.304.265.585.600;16.631.111.060.391.400;4.856.411.254.507.180;BRL;3.63;0.73;1.57;;Redes sociales;SRC-9367;SCK-6320;Transferencia;Único;5;4;21-12-2024;CUP-1632;18;5;Melissa Marshall;samanthamartinez@example.org;Spain;988.995.7986x872;43487347-1;94026;Jimmymouth;Massachusetts;23623 Robert Isle;Perry Ford;999;Apto. 48;@xprice
TRX000009;Cancelada;07-05-2023;Sí;Shannon Cannon;PROD791;Husband;PRC4853;Me;0.9615;USD;348.22;51.97;296.25;10.316;CLP;2.978.243.272.793.940;3.652.743.978.409.650;Marketplace;2.866.422.109.672.550;0.8011146524058688;1.858.249.609.807.230;CLP;2.39;0.58;1.05;;App;SRC-0546;SCK-6889;PayPal;Único;5;7;06-02-2025;CUP-7346;21;3;Mr. Michael Yates;marycalhoun@example.net;Martinique;4692901627;46537556-4;99068;Kingland;New Mexico;805 Debra Tunnel;Karen Gateway;7492;;@maryhowell
TRX000010;Completada;15-08-2021;Sí;Brian Gould;PROD478;Make;PRC5669;Scene;0.8631;EUR;372.36;57.99;314.37;10.447;CLP;3.197.463.440.410.160;3.743.596.249.784.910;Marketplace;3.093.111.530.595.120;1.324.565.703.664.670;34.900.883.496.451.500;EUR;4.69;0.1;1.76;Jacob Obrien;Web;SRC-1241;SCK-9049;Transferencia;Recurrente;5;10;10-02-2024;CUP-6631;22;3;Sandra Sanchez;melissa91@example.net;Slovenia;8589651850;16572628-4;81229;Marshallshire;Louisiana;14737 Rogers Park Suite 273;Salinas Junctions;3336;Apto. 44;
