Código de la transacción,Estatus de la transacción,Fecha de la transacción,Confirmación del pago,Productor(a),Código del producto,Producto,Código del precio,Nombre de este precio,Tasa de conversión (moneda de compra),Moneda de compra,Valor de compra con impuestos,Impuestos locales de compra + Tarifa de pago en cuotas,Valor de compra sin impuestos,Tasa de conversión (moneda en la que recibes los valores),Moneda en la que recibirás los valores,Facturación bruta (sin impuestos),Facturación bruta,Tipo de venta,Faturación neta del Productor(a),Comisión del Afiliado(a),Facturación del(de la) Coproductor(a),Moneda de las tarifas,Tarifa de procesamiento,Tasa de streaming,Otras tarifas,Nombre del Afiliado(a),Canal usado para la venta,Código SRC,Código SCK,Método de pago,Tipo de cobro,Periodicidad,Cantidad total de cuotas,Cantidad de cobros,Fecha de vencimiento (vouchers),Código del cupón,Período de prueba (trial),Cantidad de ítems,Comprador(a),Email del Comprador(a),País,Teléfono,Documento,Código postal,Ciudad,C. Autónoma/Dpto./Estado/Prov.,Dirección,Barrio,Número,Apto./piso/casa,Instagram
TRX000001,Pendiente,2023-08-17,Sí,Donald Walker,PROD130,Since,PRC2535,Blue,0.8875,CLP,25.4,3.14,22.26,1.0245,BRL,29.62,29.86,Online,15.49,8.92,0.87,BRL,3.15,0.81,0.01,,Redes sociales,SRC-8196,SCK-0013,PayPal,Único,Único,1,1,2021-12-26,CUP-9083,4,2,Meredith Barnes,zlawrence@example.org,Senegal,(865)342-3511,55940781-6,10829,Mariastad,Oregon,103 Galloway Walk,Michelle Light,5515,,@shawn52
TRX000002,Cancelada,2022-04-13,No,Derek Zuniga,PROD691,Raise,PRC4150,Away,1.0818,CLP,1120.32,202.83,917.49,1.0645,EUR,922.85,1134.91,Online,907.76,11.36,16.56,USD,13.2,1.14,2.72,,App,SRC-9283,SCK-2764,PayPal,Recurrente,Trimestral,6,4,2026-04-26,CUP-8350,8,1,Andrew Stewart,carl95@example.org,Palau,867.724.2388x4969,32871012-2,89693,Carlsonfurt,Missouri,480 Erin Plain Suite 514,Moore Alley,9981,,
TRX000003,Completada,2025-03-13,Sí,Deborah Mason,PROD941,Could,PRC1525,Movement,1.122,BRL,104.2,14.13,90.07,0.9071,USD,96.47,123.99,Marketplace,84.5,6.85,8.43,EUR,1.46,0.5,1.77,,App,SRC-1489,SCK-3252,PayPal,Único,Único,1,1,2023-04-29,CUP-8095,7,5,Brian Cox DVM,john39@example.org,Belize,001-571-582-2782x4896,46578713-3,08893,Andrewside,Iowa,10310 Jones Freeway,Caldwell Forest,8831,Apto. 17,
TRX000004,Cancelada,2023-02-16,No,Sonya Johnston,PROD710,Eight,PRC2040,Still,0.9539,BRL,440.38,87.97,352.41,1.0116,CLP,353.32,450.57,Marketplace,351.94,3.29,18.82,CLP,10.7,1.61,1.6,,Web,SRC-7631,SCK-1656,PayPal,Recurrente,Trimestral,7,3,2023-02-15,CUP-0106,0,3,Rebecca Rodriguez,jameswest@example.com,Cocos (Keeling) Islands,473-817-8108x013,77360260-6,35261,Mitchellside,Texas,34309 Julie Centers Apt. 978,Brian Pass,8202,,
TRX000005,Cancelada,2020-10-31,Sí,Kurt Leonard,PROD713,Easy,PRC6310,International,0.9954,CLP,499.75,63.2,436.55,1.1716,EUR,442.64,512.53,Online,435.02,7.63,5.39,CLP,1.58,0.57,0.16,,Web,SRC-1939,SCK-9091,Transferencia,Único,Único,1,1,2022-09-16,CUP-9985,21,4,Christina Moran,josephanderson@example.net,French Southern Territories,651.407.9911x838,51354278-4,80674,Lake Lisaport,Texas,41182 Campbell Fords,Harris Roads,9008,Apto. 11,
TRX000006,Cancelada,2024-09-10,No,Danielle Odonnell,PROD223,Approach,PRC5061,Best,0.8899,EUR,564.39,99.22,465.17,0.8084,USD,472.3,578.19,Marketplace,461.18,6.72,3.73,USD,0.53,0.71,0.12,Sandra Williams,Web,SRC-5242,SCK-7868,PayPal,Recurrente,Mensual,2,9,2020-10-24,CUP-1280,8,4,Lauren Hernandez,bobbydiaz@example.org,United Arab Emirates,(833)215-8692x322,25634216-0,62195,East Lisa,New Jersey,3303 Murphy Way Apt. 458,Frazier Ville,3511,,
TRX000007,Cancelada,2023-02-10,Sí,Ashley Waller,PROD789,Could,PRC2612,Partner,0.8242,EUR,481.68,87.22,394.46,1.1202,CLP,395.43,485.49,Online,390.15,4.24,4.67,USD,1.36,0.45,0.84,Deborah Rodriguez,App,SRC-6556,SCK-9816,Tarjeta de crédito,Recurrente,Mensual,8,9,2025-01-24,CUP-3406,1,5,Timothy Ryan,michaeljones@example.net,Uruguay,895-814-8465x64823,29946804-4,28050,Floydmouth,New Jersey,3872 Justin Shore Suite 134,Lindsay Drive,242,,@williamstracey
TRX000008,Pendiente,2023-06-27,No,Joy Mercado,PROD533,Parent,PRC8973,Day,0.8619,EUR,399.35,55.13,344.22,0.8871,CLP,348.01,400.52,Marketplace,334.37,7.96,23.52,CLP,11.6,0.17,3.51,,App,SRC-6763,SCK-2016,Tarjeta de crédito,Recurrente,Trimestral,9,2,2021-10-15,CUP-8708,2,5,Ryan Bryant,jcontreras@example.net,Ghana,001-979-586-8727x74348,47143455-8,11062,East Jesse,Vermont,316 Rivera Mountain,Brown Village,1114,,@xprice
TRX000009,Cancelada,2023-05-08,No,Shannon Cannon,PROD344,Husband,PRC5351,Me,0.9583,EUR,324.79,31.12,293.67,0.9829,CLP,300.24,326.43,Online,288.02,3.16,2.61,BRL,3.3,0.56,0.2,,Tienda física,SRC-0546,SCK-6889,Transferencia,Único,Único,1,1,2025-05-29,CUP-7346,28,1,Mr. Michael Yates,marycalhoun@example.net,Martinique,4692901627,46537556-4,99068,Kingland,New Mexico,805 Debra Tunnel,Karen Gateway,4003,Apto. 24,@maryhowell
TRX000010,Completada,2021-08-16,No,Brian Gould,PROD218,Make,PRC2753,Scene,1.097,USD,7210.49,1305.41,5905.08,0.9089,USD,5911.76,7221.07,Marketplace,5899.53,111.81,12.43,EUR,16.99,7.61,6.34,Jacob Obrien,Web,SRC-1241,SCK-9049,Tarjeta de crédito,Recurrente,Anual,11,7,2024-03-16,CUP-6631,1,1,Sandra Sanchez,melissa91@example.net,Slovenia,8589651850,16572628-4,81229,Marshallshire,Louisiana,14737 Rogers Park Suite 273,Salinas Junctions,5465,,
