Código de la transacción,Estatus de la transacción,Fecha de la transacción,Confirmación del pago,Productor(a),Código del producto,Producto,Código del precio,Nombre de este precio,Tasa de conversión (moneda de compra),Moneda de compra,Valor de compra con impuestos,Impuestos locales de compra + Tarifa de pago en cuotas,Valor de compra sin impuestos,Tasa de conversión (moneda en la que recibes los valores),Moneda en la que recibirás los valores,Facturación bruta (sin impuestos),Facturación bruta,Tipo de venta,Faturación neta del Productor(a),Comisión del Afiliado(a),Facturación del(de la) Coproductor(a),Moneda de las tarifas,Tarifa de procesamiento,Tasa de streaming,Otras tarifas,Nombre del Afiliado(a),Canal usado para la venta,Código SRC,Código SCK,Método de pago,Tipo de cobro,Cantidad total de cuotas,Cantidad de cobros,Fecha de vencimiento (vouchers),Código del cupón,Período de prueba (trial),Cantidad de ítems,Comprador(a),Email del Comprador(a),País,Teléfono,Documento,Código postal,Ciudad,C. Autónoma/Dpto./Estado/Prov.,Dirección,Barrio,Número,Apto./piso/casa,Instagram
TRX000001,Completada,2023-08-17,No,Donald Walker,PROD132,Since,PRC1488,Blue,0.8375,USD,356.86,33.54,323.32,0.8931,USD,325.5521073814882,362.3605863673824,Marketplace,315.9552878583599,6.766994874229113,8.921795677048454,USD,0.62,0.2,1.3,,App,SRC-8196,SCK-0013,Efectivo,Recurrente,1,3,2022-07-29,CUP-9083,13,3,Meredith Barnes,zlawrence@example.org,Senegal,(865)342-3511,55940781-6,10829,Mariastad,Oregon,103 Galloway Walk,Michelle Light,4553,,
TRX000002,Cancelada,2021-10-27,Sí,Holly Wood,PROD487,Determine,PRC2291,Religious,1.0208,USD,194.86,19.93,174.93,1.1318,USD,183.4049436634746,196.7943275366693,Marketplace,168.89273968633108,8.071282732743802,7.297317866938179,USD,4.48,0.36,0.38,Timothy Wong,App,SRC-9283,SCK-2764,PayPal,Único,4,2,2025-11-28,CUP-8350,8,4,Andrew Stewart,carl95@example.org,Palau,867.724.2388x4969,32871012-2,89693,Carlsonfurt,Missouri,480 Erin Plain Suite 514,Moore Alley,5978,Apto. 11,@teresa28
TRX000003,Pendiente,2024-12-28,No,Elizabeth Fowler,PROD376,Politics,PRC4598,Decide,1.0738,USD,407.84999999999997,69.46,338.39,1.1371,USD,339.10402509578546,421.5209533107333,Online,332.0402171180294,5.34139877029708,2.4481092515142624,USD,1.53,0.03,0.63,Phillip Ryan,App,SRC-8095,SCK-7015,PayPal,Único,11,8,2025-05-18,CUP-4303,28,4,Theresa Miller,wcabrera@example.net,Seychelles,(527)582-4896,46578713-3,08893,Andrewside,Iowa,10310 Jones Freeway,Caldwell Forest,2341,,@jenniferkhan
TRX000004,Cancelada,2023-04-24,No,John Russell,PROD193,Between,PRC1771,Bill,1.1444,USD,324.81,39.74,285.07,0.8611,USD,294.04822883602475,336.50171980447084,Online,281.075994948596,2.1932075915728335,9.975376064951103,USD,4.06,0.42,0.13,Heather Jenkins,Redes sociales,SRC-0106,SCK-5133,PayPal,Único,11,12,2021-07-18,CUP-7262,21,5,David Leblanc,jmorton@example.org,Australia,+1-880-213-2677x3602,64746872-3,39391,North Beth,Ohio,500 Shaw Walk,Brian Pass,4372,Apto. 50,@yorkcasey
TRX000005,Completada,2020-10-09,No,Jennifer David,PROD961,Over,PRC9317,Employee,1.0436,USD,260.51,37.48,223.03,0.8611,USD,231.78852940378195,279.5863185504216,Online,220.3961094924891,5.005861130502983,1.7865188053013137,USD,2.93,0.78,1.06,Amanda Miller,Tienda física,SRC-9985,SCK-4353,Efectivo,Único,2,6,2022-03-11,CUP-2475,7,1,Taylor Smith,jonesjason@example.com,Bulgaria,(613)354-2784x980,24118244-9,28108,Jamesview,North Carolina,0164 Adam Trail Apt. 427,Hoffman Creek,3947,,@landryhannah
TRX000006,Pendiente,2021-03-06,No,Jacob Tran,PROD316,Law,PRC9835,Care,1.1021,USD,275.53,27.39,248.14,1.0759,USD,255.79834429306987,290.7420433051446,Marketplace,246.85608535500236,4.752823780987313,5.4980359349494385,USD,1.9,1.0,1.3,Jacob Fitzpatrick,Redes sociales,SRC-0533,SCK-1586,Tarjeta de crédito,Único,4,2,2025-10-10,CUP-2322,0,5,Allison Doyle,kimberly63@example.com,Cayman Islands,001-216-507-3375x433,65414586-8,43905,North Natalieview,Idaho,19655 Obrien Pass Apt. 693,Williams Mews,9076,,@meyerlindsay
TRX000007,Pendiente,2023-11-12,Sí,Nancy Gonzalez,PROD652,Lawyer,PRC3167,Available,1.0893,USD,395.67999999999995,38.84,356.84,1.153,USD,357.15412958053014,397.0280065622061,Marketplace,353.535715109195,5.141561198085891,2.7847726396454697,USD,2.63,0.78,1.61,Tammie Hanson,Web,SRC-1484,SCK-6564,Efectivo,Recurrente,7,7,2023-11-10,CUP-3662,27,1,Elizabeth Kelley,torresjason@example.net,New Caledonia,+1-757-377-3872x1489,34332003-7,80621,South Robertshire,Illinois,6320 Kimberly Forges Apt. 870,Samantha Crossing,1613,Apto. 4,
TRX000008,Completada,2022-09-18,No,Mary Travis,PROD927,Physical,PRC2604,Free,0.8202,USD,449.11,46.82,402.29,1.1997,USD,407.6528575391035,452.9418014428331,Online,400.88817702905226,1.8348803578723327,4.626280684009673,USD,4.86,0.93,1.7,Stephanie Salazar,Redes sociales,SRC-8687,SCK-2774,Efectivo,Único,7,1,2024-06-02,CUP-4873,12,1,Billy Mitchell,matthew81@example.org,Canada,962.831.6658,03669096-7,01273,Kennethfurt,Nebraska,3467 Paul Skyway,Ramsey Ville,6397,Apto. 17,@ncalhoun
TRX000009,Completada,2023-02-06,Sí,Leslie Alvarado,PROD865,Because,PRC6138,Question,0.8229,USD,424.96,73.63,351.33,1.0337,USD,357.94871311950743,440.6272305696857,Marketplace,346.4632858834567,1.8989786726763713,2.1770089841417493,USD,4.64,0.53,0.11,,App,SRC-6272,SCK-0465,Tarjeta de crédito,Único,11,4,2022-01-21,CUP-5564,3,5,Sandra King,ruizkaitlyn@example.org,Zambia,(931)300-3309x232,93745299-1,21966,Danieltown,Maryland,3193 Heidi Hollow Apt. 905,Stanley Cliff,4034,,
TRX000010,Pendiente,2022-12-17,Sí,Samuel Short,PROD787,Born,PRC5915,Lead,0.9829,USD,255.82,40.4,215.42,1.1716,USD,224.76706257736427,266.2756543106392,Online,213.37740800576464,7.161918007894148,2.38685952615846,USD,0.54,0.62,1.13,Madison Poole,App,SRC-2628,SCK-4987,PayPal,Único,6,2,2023-02-06,CUP-9453,11,3,Angelica Keith,karenhudson@example.net,Hong Kong,207-552-7354x54948,13678377-7,02761,West Jeffreybury,Maryland,8856 Bell Motorway Suite 443,Jennifer Island,2585,Apto. 29,
